Date,Positive Total,Positive New
6/1/2020,97291,326
6/2/2020,97539,248
6/3/2020,97964,425
6/4/2020,98376,412
6/5/2020,98796,420
6/6/2020,99301,505
6/7/2020,99562,261
6/8/2020,99755,193
6/9/2020,99955,200
6/10/2020,100158,203
6/11/2020,100504,354
6/12/2020,100811,307
6/13/2020,101070,259
6/14/2020,101276,206
6/15/2020,101334,58
6/16/2020,101474,140
6/17/2020,101654,180
6/18/2020,101853,199
6/19/2020,102005,152
6/20/2020,102228,223
6/21/2020,102333,105
6/22/2020,102469,136
6/23/2020,102651,182
6/24/2020,102762,111
6/25/2020,102922,160
6/26/2020,103071,149
6/27/2020,103376,305
6/28/2020,103539,163
6/29/2020,103628,89
6/30/2020,103701,73
7/1/2020,103858,157
7/2/2020,104016,158
7/3/2020,104228,212
7/4/2020,104391,163
7/5/2020,104502,111
7/6/2020,104659,157
7/7/2020,104799,140
7/8/2020,104961,162
7/9/2020,105138,177
7/10/2020,105290,152
7/11/2020,105457,167
7/12/2020,105629,172
7/13/2020,105783,154
7/14/2020,105986,203
7/15/2020,106128,142
7/16/2020,106271,143
7/17/2020,106487,216
7/18/2020,106664,177
7/19/2020,106882,218
7/20/2020,107056,174
7/21/2020,107221,165
7/22/2020,107413,192
7/23/2020,107683,270
7/24/2020,107897,214
7/25/2020,108107,210
7/26/2020,108380,273
7/27/2020,108562,182
7/28/2020,108740,178
7/29/2020,109096,356
7/30/2020,109400,304
7/31/2020,109787,387
8/1/2020,110077,290
8/2/2020,110430,353
8/3/2020,110595,165
8/4/2020,111033,438
8/5/2020,111371,338
8/6/2020,111533,162
8/7/2020,111853,320
8/8/2020,112173,320
8/9/2020,112459,286
8/10/2020,112673,214
8/11/2020,112969,296
8/12/2020,113198,229
8/13/2020,113517,319
8/14/2020,113729,212
8/15/2020,114095,366
8/16/2020,114398,303
